smiles,epsilon_LUMO
C#C[C@H]1[C@H]2[N@H+]3C[C@H]3[C@@]12C,0.9197447896003724
CC(C)C1=CCC(=O)C1,-0.3809594213962555
C[C@]12CCC[C@H](C1)C2,2.157862901687622
C[C@@H]1[C@H](C)[C@@H]1[C@H]1C[N@H+]1C,2.141535997390747
C#CC1(CO)CCCC1,1.319752216339111
N=CN1C(=O)NCC1[NH-],-0.674842357635498
N=C(NC=O)[C@H](O)CO,-0.6612366437911987
CC(=O)[C@H]1C[C@H]1CC#N,-0.8326684236526489
C[C@H]1C[C@]1(C)CCO,2.1959588527679443
C#C[C@@H]1C[C@@H]1CC,1.3932229280471802
C[C@@]1(O)[C@H]2C[C@@H](O)[C@]21O,1.711596131324768
O=C1CCC1,-0.5279008746147156
CCCC[C@]12C[C@H]1CO2,2.2313337326049805
C#C[C@@H]1OC[C@@H]1OCC,0.6095350384712219
N#C[C@@H]1NC[C@@H]2[C@H](O)[C@@H]21,0.5034106373786926
C1C[C@@]2(C[C@@H]2[NH+]2CC2)O1,1.970104455947876
O[C@@]12C[C@@H]3C[C@@H]3O[C@@H]1C2,2.108882427215576
C1=C[C@H]2[C@@H]3[N@H+]4C[C@]3(C1)[C@@H]24,0.30204638838768
CC[C@H]1O[C@H]1C(C)=O,-0.6666789054870605
Cc1nc2cocc2o1,-0.5006895065307617
O[C@H]1[CH-][C@H]2C=C[C@H]3[C@@H]1[C@H]32,-0.6694000959396362
CCCCC(=O)C=O,-2.492563009262085
C#CC[C@H](C)C[C@H]1CO1,1.4013863801956177
C[C@]12N[C@H]1C(=O)C[C@H]2O,-0.5714390873908997
CO[C@H]1OC[C@@H](C)[C@H]1C,2.138814926147461
C[C@]1(O)C[C@@H](O[CH+][NH-])C1,0.6775635480880737
C#C[C@@]12CC[C@@H]1[N@@H+]2CC,0.8734854459762573
CN1C[C@H]2C[C@H](C2)C1=O,0.9360716938972472
N#C[C@@]12C=CCC[N@@H+]1C2,-0.3646325469017029
C#CC[C@]1(O)C[C@H]2O[C@H]21,0.9796098470687866
c1cc([C@H]2CO2)[nH]n1,0.2748349905014038
[NH-][CH+]O[C@]1(CO)C[C@H]1O,0.6285830140113831
COC[C@@H](C)[C@H]1C[C@H]1C,2.375554084777832
CC(=O)[C@H]1CO[C@H](C)O1,-0.5224586129188538
CO[C@@H](C)[C@H]1C[C@@H](C)O1,2.3320157527923584
C[N@H+]1C[C@]12[C@@H]1C[C@H]2C1=O,0.1278935074806213
C[C@@]1(C#N)OC[C@@]12CO2,0.0217691082507371
N#C[C@@]12NC[C@@H]1[C@@H]2C=O,-1.164647340774536
