smiles,ZPVE
C#C[C@H]1[C@H]2[N@H+]3C[C@H]3[C@@]12C,3.9746038913726807
CC(C)C1=CCC(=O)C1,4.92634916305542
C[C@]12CCC[C@H](C1)C2,5.530224323272705
C[C@@H]1[C@H](C)[C@@H]1[C@H]1C[N@H+]1C,5.880189895629883
C#CC1(CO)CCCC1,4.968989372253418
N=CN1C(=O)NCC1[NH-],3.1124656200408936
N=C(NC=O)[C@H](O)CO,3.694136142730713
CC(=O)[C@H]1C[C@H]1CC#N,3.97653603553772
C[C@H]1C[C@]1(C)CCO,5.396915435791016
C#C[C@@H]1C[C@@H]1CC,4.000482082366943
C[C@@]1(O)[C@H]2C[C@@H](O)[C@]21O,4.268350601196289
O=C1CCC1,2.463827610015869
CCCC[C@]12C[C@H]1CO2,5.577816963195801
C#C[C@@H]1OC[C@@H]1OCC,4.251751899719238
N#C[C@@H]1NC[C@@H]2[C@H](O)[C@@H]21,3.7689127922058105
C1C[C@@]2(C[C@@H]2[NH+]2CC2)O1,4.636412143707275
O[C@@]12C[C@@H]3C[C@@H]3O[C@@H]1C2,4.349522113800049
C1=C[C@H]2[C@@H]3[N@H+]4C[C@]3(C1)[C@@H]24,4.102088928222656
CC[C@H]1O[C@H]1C(C)=O,4.101735591888428
Cc1nc2cocc2o1,2.7962963581085205
O[C@H]1[CH-][C@H]2C=C[C@H]3[C@@H]1[C@H]32,3.74224591255188
CCCCC(=O)C=O,4.084646701812744
C#CC[C@H](C)C[C@H]1CO1,4.888960838317871
C[C@]12N[C@H]1C(=O)C[C@H]2O,4.017325878143311
CO[C@H]1OC[C@@H](C)[C@H]1C,5.587123394012451
C[C@]1(O)C[C@@H](O[CH+][NH-])C1,4.589907646179199
C#C[C@@]12CC[C@@H]1[N@@H+]2CC,4.610424995422363
CN1C[C@H]2C[C@H](C2)C1=O,4.730454444885254
N#C[C@@]12C=CCC[N@@H+]1C2,3.7516064643859854
C#CC[C@]1(O)C[C@H]2O[C@H]21,3.6256449222564697
c1cc([C@H]2CO2)[nH]n1,2.9871299266815186
[NH-][CH+]O[C@]1(CO)C[C@H]1O,3.952426433563232
COC[C@@H](C)[C@H]1C[C@H]1C,6.17167854309082
CC(=O)[C@H]1CO[C@H](C)O1,4.2760515213012695
CO[C@@H](C)[C@H]1C[C@@H](C)O1,5.529897689819336
C[N@H+]1C[C@]12[C@@H]1C[C@H]2C1=O,4.003692626953125
C[C@@]1(C#N)OC[C@@]12CO2,3.325775623321533
N#C[C@@]12NC[C@@H]1[C@@H]2C=O,3.0645735263824463
C[C@H]1CC[C@@]12O[C@H]2CO,4.927437782287598
C#CC[C@@H]1CC[C@@H]1C=O,4.272541046142578
C#CCC[N@H+](C)CC=O,4.539430618286133
CC1(C)C[C@H]2[C@@H](CO)[C@H]21,5.575232028961182
NC(=O)N[C@H]1C[N@H+]2C[C@@H]12,4.055639266967773
C#C[C@@H](C=O)OC1CC1,3.5847737789154053
C#Cc1cc(C)c(C)o1,3.641753911972046
Cc1ccc(N2CC2)o1,4.020318984985352
C1[C@H]2[C@@H]1[C@@]1([C@H]3CO3)C[C@@H]21,4.336379051208496
C[C@@H]1C[C@]1(C)[C@@H](C)CO,6.168331623077393
C#C[C@H](OC)C(=O)CC,4.197329044342041
CO[C@H]1[C@H]2O[C@@H](C#N)[C@H]21,3.351490259170532
CC[C@@H](O)CC(=O)NC,5.237185001373291
C#CC(=O)[C@@H](C)[NH+](C)C,4.534695625305176
CC(C)[C@@H](C=O)C(N)=O,4.581825733184815
Cc1cnc(NC=O)[nH]1,3.435954332351685
CC(=O)C[C@@]1(C)C[N@@H+]1C,5.174027442932129
O[C@H]1C[C@H]2C[C@@H]3OC[C@]231,4.351699352264404
C#C[C@H](C)[C@H]1O[C@H]1CO,4.24938440322876
C[C@H]1CO[C@H](C(N)=O)C1,4.669610023498535
O[C@@H]1/C=C\C=C/C/C=C\1,4.35142707824707
[CH+]1[NH2+]C[C@]2(O1)[C@@H]1CC[C@@H]12,4.071041107177734
C#CC[C@@]1(C)[C@H](C)[C@@H]1C,5.506986141204834
CC(C)C1=CC[C@H]2N[C@@H]12,5.304859638214111
N#C[C@@H]1C[C@@]1(N)C#N,2.60965347290039
O=C1N[C@H]2C[C@H]3[C@@H](O1)[C@H]32,3.4687440395355225
O=C[C@@]1(O)[C@H](O)[C@@H]1CO,3.619141578674317
Cc1ccc(O)c(O)n1,3.4044437408447266
OCC[NH+]1CC2(CO2)C1,4.618588447570801
O=CC[C@@]12C[C@@H](N1)C2=O,3.338592052459717
C[N@@H+]1[C@@H]2[C@H](C#N)NC[C@@H]21,4.062305927276611
c1ncn(C[C@H]2CN2)n1,3.798137903213501
N#C[C@@]12N[C@@H]1C=C[C@@H]2N,3.448553562164306
C1OC[C@]23O[C@H]2C[C@@H]3O1,3.739959955215454
C#C[C@]12CC=C[C@@]1(O)C2,3.664666175842285
N#C[C@H]1O[C@H]2CO[C@@H]1C2,3.44692063331604
C[C@@]1(O)[C@H]2N[C@@H]1[C@@]21CN1,4.327263355255127
COC(=O)[C@H](C#N)CN,3.665319442749024
C[C@H]1C=C[C@H]2C34OC23[C@H]14,4.378964900970459
O[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1O[C@H]42,2.933850049972534
C[C@@]12[C@H]3CCO[C@@H]1[C@@H]2C3,5.033072471618652
C#C[C@@H]1COC([NH-])[C@H]1O,3.372089385986328
OC[C@]12[C@@H]3[N@H+]1[C@@H]1[C@H]2[C@]31O,3.356959819793701
CCN1C(=O)[C@]2(C)C[C@H]12,4.623214244842529
Oc1cc(N2CC2)n[nH]1,3.42036247253418
O=C1Cn2cncc2O1,2.510468006134033
C[C@H]1C[C@@]2(C)C[C@@H]3[C@H]2[N@@H+]31,5.320206642150879
CC(=O)[C@H]1C[C@H]2[C@@H](O)[C@H]21,4.314881801605225
OC[C@]12C[C@@H]3[C@H](C1)[N@@H+]32,3.89824891090393
C[C@]12CNC1=CC(=O)N2,3.756150722503662
CC[C@]1(C)[C@H]2C[N@@H+]3[C@H]2[C@@H]31,5.293567180633545
C#C[C@@]12OC[C@@H]1C[C@@H]2C,4.300868034362793
CO[C@H]1[C@H]2O[C@@H]3[C@H]2[C@@]31O,3.65315580368042
C[C@@H]1[C@@H]2[C@H](O)[C@@H]3[C@H]1[N@H+]23,3.896343946456909
C[N@H+]1CC(=O)[C@H]2C[C@]21C,4.633500099182129
NC(=O)[C@H]1CC12COC2,4.000509262084961
C#C[C@]12C[C@H]1[N@H+](C)[CH+][NH2+]2,3.6811561584472656
[NH-]c1cc(F)[nH+]cc1N,3.106642246246338
COC[C@@H](C)[C@H]1CCO1,5.557299613952637
C[C@]12N[C@H]1[C@@H](O)[C@H]2C=O,3.9801547527313232
C[C@H]1[C@@H](O)[C@H]2C[C@]1(C)O2,4.955084800720215
CC#C[C@@H](C)C1CC1,4.768115043640137
C[C@]1(CO)C=CC(=O)O1,3.6830339431762695
C1O[C@]12[C@@H]1N[C@H]2[C@@H]2N[C@@H]21,3.766327857971192
C#CC(=O)[C@@H](C)CC=O,3.568609952926636
O[C@H]1CC=C2CCO[C@H]21,4.381876468658447
O=C1CCc2ocnc21,2.8182015419006348
[CH+]1[NH2+]C[C@]2(O1)[C@H]1C[C@@H]2C1,4.092129707336426
C[C@H]1[C@H]2N[C@@]2(C=O)[C@H]1C,4.6254730224609375
C[C@@]12C[C@@H](OC=O)[C@@H]1C2,4.293167591094971
N#C[C@H](O)c1ccco1,2.758472681045532
O=CNC1=CCC[C@@H]1O,4.0495710372924805
COCCCCCO,5.392534732818604
CCNC1=C(C)[CH-]CO1,4.627295970916748
C[CH+]1C=CC([NH-])OC1O,3.379300355911255
O=C1C(=O)[C@H]2CC[C@@H]1N2,3.4546215534210205
NC(=O)[C@H]1O[C@H]1C1CC1,3.989760637283325
C#CCc1c[nH]nc1C,3.695986270904541
N#CC(=O)c1nc[nH]n1,1.8452585935592647
C[C@H]1N[C@]2(C[C@H]2O)C1=O,3.97740650177002
CCC1(C)C23CC12O3,4.795190334320068
COCCn1cnnc1,4.036917686462402
C#C[C@]12[C@H]3[C@@H]4[C@H]([N@H+]31)[C@@]42O,2.691614389419556
O=C[C@]12C=C[C@H](C1)[C@@H]2O,3.684557676315308
O=C[C@@H]1[C@@H]2C[C@H]1OC2=O,3.079485416412353
CC[C@@](C)(OC)C(C)C,6.762029647827148
O=C1OCCC=C1CO,3.71141529083252
O=CN1C[C@H]2[C@@H]1[C@H]1C[N@H+]12,3.7377285957336426
CC[C@H]1C[C@]1(O)CCO,5.529407978057861
OC[C@@H]1[C@@H]2[C@@H]3C[C@@H]3[C@H]12,4.195288181304932
C1O[C@@H]2[C@@H]3[C@H]1[C@]21OC[C@@H]31,3.739932775497437
C[C@]12CC(=O)[C@@]1(C#N)N2,3.0417702198028564
[NH-]C1=C[CH-][C@@H](O)CCO1,4.053245067596436
C[NH2+][C@@H](C)OC(C)=O,3.7590625286102295
O=C1[C@H]2[C@@H](CO)[C@H]2[C@@H]1O,3.662108421325684
C[C@@H](O)[C@H]1[C@H]2C[C@@H](O)[C@H]21,4.958948612213135
CC[C@@H](C)[C@@H](CC)OC,6.7762064933776855
C[C@@H]1C(=O)[C@@H]2N[C@@H]2[C@@H]1O,4.040999889373779
O=CCc1ccncn1,3.099050283432007
CC[C@H]1C[C@@H](CO)CO1,5.604974269866943
N#C[C@H]1C[N@H+]2CC=C[C@@H]12,3.7700560092926025
CC(=O)NCC[C@H]1CO1,4.603649616241455
N#C[C@@H]1C[C@@H](O)C[C@H]1O,4.020101070404053
CNC(=O)COC(C)C,5.208449363708496
C[C@H]1C[C@]12C=CCCC2,5.644702911376953
N#CC1(O)CCCC1,3.8961803913116455
CC[C@]12[C@@H](O)[C@@H]3C14OC342,4.294691562652588
O[C@H]1[C@@H]2CC=C[C@H]1CC2,5.065617084503174
C[C@H]1C[C@]2(C=O)[C@H]1[C@@H]2C,4.93951940536499
CCOC(=O)NC,3.688367366790772
CCC(=O)[C@H]1OC[C@H]1O,4.268350601196289
C1=C[C@H]2[C@@H]3OCO[C@H]2[C@H]13,3.785430192947388
CCc1conc1CC,4.643323421478272
CC#CC(=O)OCCO,3.615930557250977
C[C@]12CO[C@H]1[C@@H](CO)N2,4.63701057434082
N#C[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1O[C@H]42,2.788214445114136
CC1(C)CCOCO1,4.830102920532227
O=C1OC[C@@H]1NCCO,4.012372970581055
N#C[C@@]1(O)[C@@H]2N[C@@H]2[C@@H]1N,3.3866474628448486
C#C[C@H](C)[C@H]1COC1=O,3.6501352787017822
COCCC1(CO)CC1,5.547476291656494
O=CC[C@@]1(O)[C@@H]2OC[C@@H]21,3.6381349563598633
C[C@@]1(C=O)OCOC1[NH-],3.33491849899292
C[C@H]1C[C@H]2C[C@]1(O)C2,4.863626956939697
CC(=O)[C@@]12C[C@H]3C[C@@H]1[N@H+]32,4.015393733978272
C[N@@H+](CC=O)C1CC1,4.443891525268555
CCc1ccnc(O)c1,4.069081783294678
C#C[C@@H]1C[C@H](C)[C@@]1(C)O,4.881994724273682
C[C@H]1C=CC[C@@H]2C[C@H]1O2,5.029534816741943
