smiles,mu
C#C[C@H]1[C@H]2[N@H+]3C[C@H]3[C@@]12C,1.4829000234603882
CC(C)C1=CCC(=O)C1,2.90720009803772
C[C@]12CCC[C@H](C1)C2,0.1005999967455864
C[C@@H]1[C@H](C)[C@@H]1[C@H]1C[N@H+]1C,1.3240000009536743
C#CC1(CO)CCCC1,1.3380000591278076
N=CN1C(=O)NCC1[NH-],2.7397000789642334
N=C(NC=O)[C@H](O)CO,3.717400074005127
CC(=O)[C@H]1C[C@H]1CC#N,5.513000011444092
C[C@H]1C[C@]1(C)CCO,1.3011000156402588
C#C[C@@H]1C[C@@H]1CC,0.8460999727249146
C[C@@]1(O)[C@H]2C[C@@H](O)[C@]21O,1.5687999725341797
O=C1CCC1,2.711899995803833
CCCC[C@]12C[C@H]1CO2,1.5002000331878662
C#C[C@@H]1OC[C@@H]1OCC,2.460599899291992
N#C[C@@H]1NC[C@@H]2[C@H](O)[C@@H]21,5.400100231170654
C1C[C@@]2(C[C@@H]2[NH+]2CC2)O1,1.124699950218201
O[C@@]12C[C@@H]3C[C@@H]3O[C@@H]1C2,2.1212000846862797
C1=C[C@H]2[C@@H]3[N@H+]4C[C@]3(C1)[C@@H]24,2.00570011138916
CC[C@H]1O[C@H]1C(C)=O,1.936900019645691
Cc1nc2cocc2o1,1.4731999635696411
O[C@H]1[CH-][C@H]2C=C[C@H]3[C@@H]1[C@H]32,1.6576999425888062
CCCCC(=O)C=O,4.019199848175049
C#CC[C@H](C)C[C@H]1CO1,1.868000030517578
C[C@]12N[C@H]1C(=O)C[C@H]2O,3.094599962234497
CO[C@H]1OC[C@@H](C)[C@H]1C,0.5752000212669373
C[C@]1(O)C[C@@H](O[CH+][NH-])C1,4.286200046539307
C#C[C@@]12CC[C@@H]1[N@@H+]2CC,1.426300048828125
CN1C[C@H]2C[C@H](C2)C1=O,3.698199987411499
N#C[C@@]12C=CCC[N@@H+]1C2,5.071199893951416
C#CC[C@]1(O)C[C@H]2O[C@H]21,2.893199920654297
c1cc([C@H]2CO2)[nH]n1,2.6737000942230225
[NH-][CH+]O[C@]1(CO)C[C@H]1O,3.0025999546051025
COC[C@@H](C)[C@H]1C[C@H]1C,0.9283999800682068
CC(=O)[C@H]1CO[C@H](C)O1,2.54040002822876
CO[C@@H](C)[C@H]1C[C@@H](C)O1,1.3208999633789062
C[N@H+]1C[C@]12[C@@H]1C[C@H]2C1=O,2.631200075149536
C[C@@]1(C#N)OC[C@@]12CO2,5.131199836730957
N#C[C@@]12NC[C@@H]1[C@@H]2C=O,4.43720006942749
C[C@H]1CC[C@@]12O[C@H]2CO,2.1389000415802
C#CC[C@@H]1CC[C@@H]1C=O,2.7346999645233154
C#CCC[N@H+](C)CC=O,2.08240008354187
CC1(C)C[C@H]2[C@@H](CO)[C@H]21,1.7963000535964966
NC(=O)N[C@H]1C[N@H+]2C[C@@H]12,4.171800136566162
C#C[C@@H](C=O)OC1CC1,2.694799900054932
C#Cc1cc(C)c(C)o1,1.4635000228881836
Cc1ccc(N2CC2)o1,1.2563999891281128
C1[C@H]2[C@@H]1[C@@]1([C@H]3CO3)C[C@@H]21,1.6683000326156616
C[C@@H]1C[C@]1(C)[C@@H](C)CO,1.3753999471664429
C#C[C@H](OC)C(=O)CC,1.5023000240325928
CO[C@H]1[C@H]2O[C@@H](C#N)[C@H]21,4.895899772644043
CC[C@@H](O)CC(=O)NC,3.55049991607666
C#CC(=O)[C@@H](C)[NH+](C)C,2.7105000019073486
CC(C)[C@@H](C=O)C(N)=O,1.1978000402450562
Cc1cnc(NC=O)[nH]1,0.4469999969005584
CC(=O)C[C@@]1(C)C[N@@H+]1C,1.6093000173568726
O[C@H]1C[C@H]2C[C@@H]3OC[C@]231,3.0162999629974365
C#C[C@H](C)[C@H]1O[C@H]1CO,1.5236999988555908
C[C@H]1CO[C@H](C(N)=O)C1,3.004699945449829
O[C@@H]1/C=C\C=C/C/C=C\1,1.6518000364303589
[CH+]1[NH2+]C[C@]2(O1)[C@@H]1CC[C@@H]12,2.0443999767303467
C#CC[C@@]1(C)[C@H](C)[C@@H]1C,0.7250000238418579
CC(C)C1=CC[C@H]2N[C@@H]12,1.4077999591827393
N#C[C@@H]1C[C@@]1(N)C#N,2.4732000827789307
O=C1N[C@H]2C[C@H]3[C@@H](O1)[C@H]32,5.097899913787842
O=C[C@@]1(O)[C@H](O)[C@@H]1CO,3.657900094985962
Cc1ccc(O)c(O)n1,0.6704999804496765
OCC[NH+]1CC2(CO2)C1,1.716599941253662
O=CC[C@@]12C[C@@H](N1)C2=O,4.285900115966797
C[N@@H+]1[C@@H]2[C@H](C#N)NC[C@@H]21,4.491799831390381
c1ncn(C[C@H]2CN2)n1,3.5887999534606934
N#C[C@@]12N[C@@H]1C=C[C@@H]2N,2.6679000854492188
C1OC[C@]23O[C@H]2C[C@@H]3O1,0.1905000060796737
C#C[C@]12CC=C[C@@]1(O)C2,1.4567999839782717
N#C[C@H]1O[C@H]2CO[C@@H]1C2,5.131100177764893
C[C@@]1(O)[C@H]2N[C@@H]1[C@@]21CN1,2.287100076675415
COC(=O)[C@H](C#N)CN,2.3687000274658203
C[C@H]1C=C[C@H]2C34OC23[C@H]14,2.0764000415802
O[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1O[C@H]42,0.4941000044345855
C[C@@]12[C@H]3CCO[C@@H]1[C@@H]2C3,1.4767999649047852
C#C[C@@H]1COC([NH-])[C@H]1O,2.3261001110076904
OC[C@]12[C@@H]3[N@H+]1[C@@H]1[C@H]2[C@]31O,2.3326001167297363
CCN1C(=O)[C@]2(C)C[C@H]12,3.496400117874145
Oc1cc(N2CC2)n[nH]1,2.413100004196167
O=C1Cn2cncc2O1,2.711899995803833
C[C@H]1C[C@@]2(C)C[C@@H]3[C@H]2[N@@H+]31,1.3585000038146973
CC(=O)[C@H]1C[C@H]2[C@@H](O)[C@H]21,3.755800008773804
OC[C@]12C[C@@H]3[C@H](C1)[N@@H+]32,0.959999978542328
